 Mortalidade - Brasil
Óbitos p/Residênc por Faixa Etária det e Unidade da Federação
Sexo: Fem
Período:2022
"Faixa Etária det";"RO";"AC";"AM";"RR";"PA";"AP";"TO";"MA";"PI";"CE";"RN";"PB";"PE";"AL";"SE";"BA";"MG";"ES";"RJ";"SP";"PR";"SC";"RS";"MS";"MT";"GO";"DF";"Total"
"0 a 6 dias";67;51;233;39;432;58;70;354;112;299;100;156;345;134;104;629;623;129;497;1197;299;230;294;76;196;241;81;7046
"7 a 27 dias";22;14;56;18;128;21;12;88;52;85;23;64;128;43;41;227;217;41;195;530;123;79;123;35;52;83;41;2541
"28 a 364 dias";48;50;214;54;287;39;36;224;118;200;61;113;231;76;62;319;359;86;402;810;221;126;174;106;131;167;55;4769
"1 a 4 anos";26;22;116;34;184;23;27;123;53;113;53;66;129;67;35;199;251;63;208;489;138;84;90;55;83;108;38;2877
"5 a 9 anos";13;5;39;15;79;4;10;67;28;45;30;37;81;26;16;97;134;37;97;278;64;46;71;40;27;53;12;1451
"10 a 14 anos";28;14;51;22;125;9;20;86;42;72;17;45;106;38;12;157;122;31;110;273;79;41;78;37;44;56;23;1738
"15 a 19 anos";28;17;103;25;194;21;32;134;60;165;50;67;143;69;36;287;285;62;261;573;180;96;125;49;70;114;44;3290
"20 a 24 anos";42;29;117;40;246;34;54;210;87;253;91;109;197;82;59;376;406;93;454;900;279;130;249;76;112;166;37;4928
"25 a 29 anos";45;18;146;30;311;42;51;231;119;283;104;116;273;97;53;447;529;109;570;1171;345;180;295;108;128;237;60;6098
"30 a 34 anos";78;34;157;35;337;34;62;269;116;338;122;159;347;150;74;557;722;146;689;1585;397;241;378;143;137;280;78;7665
"35 a 39 anos";95;49;183;51;456;49;83;402;206;430;180;205;479;195;135;955;1011;224;1029;2210;591;352;573;182;190;396;127;11038
"40 a 44 anos";159;53;313;46;604;65;121;516;236;625;225;285;758;263;161;1224;1584;306;1540;3229;778;515;881;233;252;567;197;15736
"45 a 49 anos";172;50;302;45;718;68;140;535;305;804;320;390;1019;373;226;1458;1932;383;2011;4358;1098;626;1114;294;332;716;240;20029
"50 a 54 anos";172;73;367;70;818;79;168;721;378;1035;406;514;1361;489;255;1772;2641;449;2693;5685;1517;921;1498;378;411;891;310;26072
"55 a 59 anos";219;111;491;70;953;91;195;985;522;1375;545;716;1776;621;338;2391;3837;665;4002;8109;2055;1221;2353;483;505;1167;352;36148
"60 a 64 anos";300;127;530;79;1294;103;232;1120;631;1603;667;832;2235;838;407;2999;5107;878;5535;11401;2793;1701;3255;627;651;1564;477;47986
"65 a 69 anos";347;165;671;99;1600;128;312;1431;777;2211;799;1180;2807;976;509;3458;6495;1062;7123;14777;3723;2100;4197;797;769;1868;553;60934
"70 a 74 anos";463;141;758;83;1708;119;343;1678;1033;2791;1141;1442;3435;1077;619;4373;7317;1178;7930;17101;4238;2434;5373;892;838;2211;635;71351
"75 a 79 anos";417;173;765;102;1947;127;399;1847;1154;3345;1170;1645;3914;1196;708;5161;8591;1254;8369;19415;4846;2819;6096;948;940;2345;701;80394
"80 anos e mais";1204;525;2355;260;6023;437;1269;5924;4589;12916;4680;6671;13251;3568;2596;19468;32227;5165;30033;70730;15791;9410;22218;3036;2488;6946;2630;286410
"Idade ignorada";3;1;4;-;13;-;-;5;2;1;1;2;19;-;-;12;3;3;67;54;4;2;5;3;-;12;3;219
"Total";3948;1722;7971;1217;18457;1551;3636;16950;10620;28989;10785;14814;33034;10378;6446;46566;74393;12364;73815;164875;39559;23354;49440;8598;8356;20188;6694;698720
 Fonte: MS/SVSA/CGIAE - Sistema de Informações sobre Mortalidade - SIM
 Notas:
 
 Dados finais disponíveis até 2023. Dados preliminares de 2024 atualizados em 10/2025.
 Em 2011, houve uma mudança no conteúdo da Declaração de Óbito, com maior detalhamento das informações coletadas. Para este ano, foram
 utilizados simultaneamente os dois formulários. Para mais detalhes sobre as mudanças ocorridas e os seus efeitos, veja o documento
 "Sistema de Informações sobre Mortalidade - SIM. Consolidação da base de dados de 2011".
 No dia 13/06/2019, os arquivos do SIM referentes ao ano de notificação 2017 foram atualizados, com alteração das causas básicas de 2 registros e exclusão de 1 registro.
 No dia 01/04/2020, os arquivos do SIM referentes ao ano de notificação 2019 foram atualizados, com alteração das causas básicas de 4 registros e exclusão de 1 registro.
 
