 Mortalidade - Brasil
Óbitos p/Residênc por Faixa Etária det e Unidade da Federação
Sexo: Fem
Período:2020
"Faixa Etária det";"RO";"AC";"AM";"RR";"PA";"AP";"TO";"MA";"PI";"CE";"RN";"PB";"PE";"AL";"SE";"BA";"MG";"ES";"RJ";"SP";"PR";"SC";"RS";"MS";"MT";"GO";"DF";"Total"
"0 a 6 dias";81;43;227;70;468;59;57;386;132;353;146;153;363;119;109;666;605;123;570;1243;312;211;285;99;147;257;100;7384
"7 a 27 dias";20;23;66;10;118;25;23;92;33;91;32;74;108;53;46;203;215;37;237;480;129;78;110;27;47;86;41;2504
"28 a 364 dias";40;38;160;47;268;36;41;180;99;189;62;80;169;74;55;314;318;77;336;734;170;93;133;60;97;144;48;4062
"Menor 1 ano (ign)";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;1;3
"1 a 4 anos";15;16;95;20;157;17;31;120;49;96;32;41;105;41;35;148;171;42;166;308;95;49;74;33;58;66;18;2098
"5 a 9 anos";7;10;45;16;74;10;9;52;24;52;23;20;54;29;15;107;93;20;70;147;53;20;38;18;25;31;15;1077
"10 a 14 anos";22;12;61;15;119;12;12;66;39;81;20;31;105;27;13;121;129;28;105;240;83;43;55;27;43;40;11;1560
"15 a 19 anos";28;26;113;29;221;18;25;164;63;184;52;78;192;67;32;296;267;66;313;588;156;75;128;56;68;130;30;3465
"20 a 24 anos";41;29;124;19;251;37;53;212;96;290;76;91;240;89;53;394;374;87;498;976;252;150;205;62;98;185;52;5034
"25 a 29 anos";54;28;155;24;318;46;45;219;88;279;86;101;300;84;63;433;502;118;607;1131;310;174;299;80;123;188;66;5921
"30 a 34 anos";79;36;186;45;376;39;52;303;140;408;134;155;393;154;81;627;734;142;835;1609;367;230;398;110;150;275;100;8158
"35 a 39 anos";102;54;225;44;536;59;102;420;184;520;187;228;555;196;143;981;1171;258;1292;2374;585;343;583;178;228;448;134;12130
"40 a 44 anos";113;54;320;51;627;85;113;529;232;643;245;325;887;284;163;1303;1533;342;1844;3471;744;427;787;245;307;563;194;16431
"45 a 49 anos";187;77;393;57;688;87;120;623;323;829;304;404;1094;397;219;1564;2053;427;2442;4555;1078;599;1038;261;351;724;250;21144
"50 a 54 anos";215;89;450;65;988;83;151;790;381;1124;438;575;1581;529;347;2004;2916;543;3375;6174;1445;868;1490;355;505;954;325;28760
"55 a 59 anos";274;119;642;93;1101;107;190;1025;468;1481;602;716;2022;707;412;2509;3750;752;4885;9034;2081;1272;2198;510;605;1257;442;39254
"60 a 64 anos";338;159;761;113;1539;130;259;1260;661;1850;694;878;2525;878;511;3141;4988;1008;6736;12370;2789;1561;3190;610;700;1652;554;51855
"65 a 69 anos";370;176;931;121;1807;151;295;1584;797;2394;843;1132;3096;1043;584;3687;5885;1160;8223;14914;3422;1806;3863;743;896;1968;662;62553
"70 a 74 anos";416;162;930;110;2009;125;354;1752;988;3095;1098;1469;3723;1178;638;4306;6835;1243;8989;16869;3885;2147;4633;856;945;2187;750;71692
"75 a 79 anos";455;198;984;126;2209;154;364;1951;1140;3279;1154;1624;4178;1226;717;4725;7652;1295;9041;18215;4355;2362;5174;886;966;2298;786;77514
"80 anos e mais";1087;482;2773;301;6229;442;1176;5667;4073;12596;4483;5819;12778;3370;2428;17429;27467;4633;30485;62836;12959;7546;18091;2659;2514;6411;2474;259208
"Idade ignorada";1;1;3;-;11;-;-;2;3;2;-;2;15;-;-;16;4;12;80;49;7;-;4;-;1;5;2;220
"Total";3945;1832;9644;1376;20114;1722;3472;17397;10013;29836;10711;13996;34483;10545;6664;44974;67663;12413;81129;158317;35278;20054;42776;7875;8874;19869;7055;682027
 Fonte: MS/SVSA/CGIAE - Sistema de Informações sobre Mortalidade - SIM
 Notas:
 
 Dados finais disponíveis até 2023. Dados preliminares de 2024 atualizados em 10/2025.
 Em 2011, houve uma mudança no conteúdo da Declaração de Óbito, com maior detalhamento das informações coletadas. Para este ano, foram
 utilizados simultaneamente os dois formulários. Para mais detalhes sobre as mudanças ocorridas e os seus efeitos, veja o documento
 "Sistema de Informações sobre Mortalidade - SIM. Consolidação da base de dados de 2011".
 No dia 13/06/2019, os arquivos do SIM referentes ao ano de notificação 2017 foram atualizados, com alteração das causas básicas de 2 registros e exclusão de 1 registro.
 No dia 01/04/2020, os arquivos do SIM referentes ao ano de notificação 2019 foram atualizados, com alteração das causas básicas de 4 registros e exclusão de 1 registro.
 
