 Mortalidade - Brasil
Óbitos p/Residênc por Faixa Etária det e Unidade da Federação
Sexo: Masc
Período:2020
"Faixa Etária det";"RO";"AC";"AM";"RR";"PA";"AP";"TO";"MA";"PI";"CE";"RN";"PB";"PE";"AL";"SE";"BA";"MG";"ES";"RJ";"SP";"PR";"SC";"RS";"MS";"MT";"GO";"DF";"Total"
"0 a 6 dias";97;56;325;71;595;73;66;443;191;424;142;205;481;183;152;911;852;157;672;1509;404;317;339;138;197;328;110;9438
"7 a 27 dias";34;25;79;18;170;31;19;129;57;139;49;59;115;44;56;237;257;53;265;620;143;91;135;50;65;88;32;3060
"28 a 364 dias";62;56;192;43;341;40;39;223;108;213;57;138;237;99;78;352;324;74;417;845;199;119;126;77;135;143;49;4786
"Menor 1 ano (ign)";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;2;4
"1 a 4 anos";31;25;112;24;203;23;29;139;48;112;31;39;128;40;28;175;212;46;181;374;115;67;83;46;74;82;20;2487
"5 a 9 anos";24;20;63;13;111;6;22;83;43;70;25;24;87;31;14;110;110;31;86;217;76;34;48;31;45;60;21;1505
"10 a 14 anos";28;21;81;23;148;14;34;144;54;159;42;56;99;50;35;196;187;52;155;304;106;57;68;42;59;85;21;2320
"15 a 19 anos";106;99;358;63;722;94;128;599;201;931;255;248;801;341;214;1593;984;318;1255;1597;542;259;445;112;267;540;103;13175
"20 a 24 anos";173;102;571;86;1137;167;201;853;400;1509;491;419;1317;499;323;2461;1442;465;2126;2882;1124;468;874;237;443;843;179;21792
"25 a 29 anos";168;99;518;91;1023;132;174;814;357;1326;452;389;1203;416;304;2141;1514;369;1811;2929;1022;478;819;254;419;768;212;20202
"30 a 34 anos";213;109;480;79;1075;118;174;920;415;1281;431;498;1252;411;325;1973;1746;411;1854;3813;1090;530;853;302;440;808;231;21832
"35 a 39 anos";253;134;563;84;1117;102;228;1026;468;1355;465;567;1406;486;323;2309;2325;472;2252;4962;1358;621;1078;332;538;914;295;26033
"40 a 44 anos";283;121;638;115;1205;135;244;1057;521;1616;526;668;1643;559;373;2526;2880;591;2823;6339;1547;761;1378;405;629;1161;421;31165
"45 a 49 anos";332;147;677;135;1352;139;264;1031;591;1633;602;807;1901;694;432;2786;3614;728;3572;8267;2039;1094;1793;523;741;1393;457;37744
"50 a 54 anos";431;159;796;128;1654;179;311;1303;715;2102;876;995;2490;814;577;3514;4972;1011;5101;11498;2769;1640;2624;661;974;1685;586;50565
"55 a 59 anos";476;172;1074;157;2078;213;383;1561;854;2659;1031;1200;2963;993;648;4233;6504;1245;7220;15274;3750;2180;3840;838;1146;2091;731;65514
"60 a 64 anos";559;254;1238;182;2536;224;432;1906;1024;2767;1083;1247;3521;1152;785;4975;7873;1646;9326;19501;4479;2671;5146;1041;1295;2595;816;80274
"65 a 69 anos";646;259;1507;186;3070;248;524;2305;1212;3265;1104;1485;4009;1328;827;5446;8904;1794;10923;21938;5130;3074;5960;1147;1486;2774;945;91496
"70 a 74 anos";652;271;1492;185;3221;248;558;2561;1309;3778;1464;1710;4416;1399;847;5851;9052;1717;10893;21807;5193;3162;6170;1246;1466;2924;936;94528
"75 a 79 anos";557;264;1426;189;3242;260;554;2687;1349;3791;1295;1686;4287;1439;829;5806;8918;1643;9736;20651;5178;2824;6081;1112;1343;2929;896;90972
"80 anos e mais";1188;607;2895;324;6325;449;1393;6037;3662;10521;3534;4658;9450;2614;1947;14429;21715;3785;19813;45519;10956;5923;12105;2564;2736;6197;2096;203442
"Idade ignorada";16;10;32;2;157;-;12;41;27;13;2;6;241;4;3;143;47;57;440;388;58;10;36;15;17;53;3;1833
"Total";6329;3010;15117;2198;31482;2895;5789;25862;13606;39664;13957;17104;42047;13596;9120;62168;84432;16665;90921;191235;47278;26380;50001;11173;14515;28461;9162;874167
 Fonte: MS/SVSA/CGIAE - Sistema de Informações sobre Mortalidade - SIM
 Notas:
 
 Dados finais disponíveis até 2023. Dados preliminares de 2024 atualizados em 10/2025.
 Em 2011, houve uma mudança no conteúdo da Declaração de Óbito, com maior detalhamento das informações coletadas. Para este ano, foram
 utilizados simultaneamente os dois formulários. Para mais detalhes sobre as mudanças ocorridas e os seus efeitos, veja o documento
 "Sistema de Informações sobre Mortalidade - SIM. Consolidação da base de dados de 2011".
 No dia 13/06/2019, os arquivos do SIM referentes ao ano de notificação 2017 foram atualizados, com alteração das causas básicas de 2 registros e exclusão de 1 registro.
 No dia 01/04/2020, os arquivos do SIM referentes ao ano de notificação 2019 foram atualizados, com alteração das causas básicas de 4 registros e exclusão de 1 registro.
 
