 Mortalidade - Brasil
Óbitos p/Residênc por Faixa Etária det e Unidade da Federação
Sexo: Masc
Período:2024
"Faixa Etária det";"RO";"AC";"AM";"RR";"PA";"AP";"TO";"MA";"PI";"CE";"RN";"PB";"PE";"AL";"SE";"BA";"MG";"ES";"RJ";"SP";"PR";"SC";"RS";"MS";"MT";"GO";"DF";"Total"
"0 a 6 dias";75;59;319;52;493;50;85;349;131;342;145;166;397;180;110;697;671;160;560;1439;414;287;290;115;180;277;91;8134
"7 a 27 dias";31;16;78;21;131;10;34;119;45;113;41;61;128;59;29;215;265;58;220;541;127;84;151;46;76;109;30;2838
"28 a 364 dias";54;56;192;59;374;49;57;256;115;209;54;104;268;125;67;391;430;107;408;999;248;154;185;102;150;204;68;5485
"Menor 1 ano (ign)";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1
"1 a 4 anos";38;32;119;39;217;24;28;136;39;106;48;53;118;48;29;204;247;48;194;556;175;114;117;61;106;122;41;3059
"5 a 9 anos";18;14;54;22;123;12;20;88;35;71;25;29;88;35;19;165;173;42;133;337;84;56;74;38;45;76;29;1905
"10 a 14 anos";27;20;67;14;155;10;27;115;57;97;45;46;111;50;34;198;196;53;171;387;128;68;90;34;51;86;22;2359
"15 a 19 anos";106;61;266;37;582;85;93;543;205;659;133;237;666;243;133;1281;832;247;813;1284;512;212;355;143;321;313;69;10431
"20 a 24 anos";177;85;509;60;1020;152;148;850;331;1066;284;423;1177;458;233;2138;1493;385;1456;2492;908;448;702;265;429;576;130;18395
"25 a 29 anos";199;93;551;79;1015;118;179;842;351;1289;340;394;1286;438;272;1971;1711;377;1638;3105;1069;518;825;295;432;726;204;20317
"30 a 34 anos";196;78;550;66;954;112;191;916;386;1106;308;435;1130;350;224;1847;1841;368;1594;3594;1220;644;888;275;423;704;219;20619
"35 a 39 anos";259;88;514;77;1009;101;210;995;475;1247;383;496;1274;473;248;2009;2263;441;1807;4755;1378;713;1056;315;509;929;270;24294
"40 a 44 anos";257;106;590;72;1169;99;240;1049;587;1477;479;567;1519;512;355;2545;3027;563;2183;6245;1624;900;1434;408;621;1115;365;30108
"45 a 49 anos";286;135;604;89;1284;117;275;1190;662;1632;544;756;1787;604;367;2959;3759;633;2834;7819;2069;1094;1674;482;685;1343;449;36132
"50 a 54 anos";344;126;642;101;1404;124;309;1180;691;1887;732;871;2191;744;473;3189;4702;817;3615;9837;2623;1411;2339;650;816;1625;530;43973
"55 a 59 anos";490;172;780;127;1713;147;372;1408;898;2346;911;1124;2634;943;618;4033;6300;1101;5236;13630;3577;2136;3524;863;1029;2047;626;58785
"60 a 64 anos";528;186;928;138;2075;174;433;1723;1051;2683;1091;1279;3285;1061;653;4807;7992;1366;7281;17110;4472;2764;5111;1094;1184;2343;708;73520
"65 a 69 anos";590;215;1079;163;2466;210;516;1967;1106;2859;1103;1455;3491;1198;735;5483;9483;1739;9075;21110;5331;3252;6298;1188;1269;2730;759;86870
"70 a 74 anos";629;241;1110;186;2576;198;522;2225;1247;3288;1227;1624;3901;1241;808;5748;10118;1760;9636;22334;5542;3432;6886;1228;1349;2865;834;92755
"75 a 79 anos";565;231;973;129;2616;169;564;2104;1324;3495;1410;1733;3960;1250;811;5773;9748;1595;8624;21218;5679;3330;6779;1153;1340;2860;861;90294
"80 anos e mais";1293;506;1961;269;5334;411;1406;5344;3505;9393;3455;4322;8672;2437;1801;14366;23535;3635;17550;46861;12095;6654;13849;2665;2688;6188;2152;202347
"Idade ignorada";13;1;21;-;124;-;8;69;7;33;7;8;176;-;1;100;62;55;276;275;32;19;32;4;13;46;3;1385
"Total";6175;2521;11907;1800;26834;2372;5717;23468;13248;35398;12765;16183;38259;12449;8020;60119;88848;15550;75304;185929;49307;28290;52659;11424;13716;27284;8460;834006
 Fonte: MS/SVSA/CGIAE - Sistema de Informações sobre Mortalidade - SIM
 Notas:
 
 Dados finais disponíveis até 2023. Dados preliminares de 2024 atualizados em 10/2025.
 Em 2011, houve uma mudança no conteúdo da Declaração de Óbito, com maior detalhamento das informações coletadas. Para este ano, foram
 utilizados simultaneamente os dois formulários. Para mais detalhes sobre as mudanças ocorridas e os seus efeitos, veja o documento
 "Sistema de Informações sobre Mortalidade - SIM. Consolidação da base de dados de 2011".
 No dia 13/06/2019, os arquivos do SIM referentes ao ano de notificação 2017 foram atualizados, com alteração das causas básicas de 2 registros e exclusão de 1 registro.
 No dia 01/04/2020, os arquivos do SIM referentes ao ano de notificação 2019 foram atualizados, com alteração das causas básicas de 4 registros e exclusão de 1 registro.
 
