 Mortalidade - Brasil
Óbitos p/Residênc por Faixa Etária det e Unidade da Federação
Sexo: Fem
Período:2021
"Faixa Etária det";"RO";"AC";"AM";"RR";"PA";"AP";"TO";"MA";"PI";"CE";"RN";"PB";"PE";"AL";"SE";"BA";"MG";"ES";"RJ";"SP";"PR";"SC";"RS";"MS";"MT";"GO";"DF";"Total"
"0 a 6 dias";58;52;258;46;442;60;59;343;133;278;121;162;375;157;106;670;608;135;521;1226;303;217;257;99;161;279;87;7213
"7 a 27 dias";31;18;67;17;130;28;23;104;48;87;34;52;120;55;38;192;209;36;232;491;107;81;111;41;53;71;26;2502
"28 a 364 dias";40;36;173;52;264;46;45;203;94;193;77;74;216;97;53;353;322;72;369;767;175;104;148;77;100;129;47;4326
"Menor 1 ano (ign)";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;2
"1 a 4 anos";26;27;111;39;148;23;23;114;41;97;23;54;108;44;31;146;169;55;152;356;91;58;88;37;72;95;29;2257
"5 a 9 anos";12;11;57;17;85;6;20;52;31;48;18;26;54;28;19;112;101;29;86;183;65;42;46;24;31;30;7;1240
"10 a 14 anos";14;25;63;13;106;12;15;92;35;75;32;31;67;29;16;139;128;39;106;224;83;40;68;27;32;54;20;1585
"15 a 19 anos";44;22;133;32;208;16;35;165;67;201;39;83;176;56;38;273;281;72;281;591;218;85;141;61;68;124;33;3543
"20 a 24 anos";48;36;152;25;265;28;56;191;91;277;78;99;231;83;51;427;472;87;556;1100;318;170;271;70;98;190;59;5529
"25 a 29 anos";72;45;211;50;310;56;58;219;113;348;111;129;317;117;73;468;646;125;730;1624;495;243;393;118;176;314;75;7636
"30 a 34 anos";100;58;231;48;402;46;91;346;158;420;180;193;489;157;91;738;941;187;981;2388;636;336;561;201;247;439;109;10774
"35 a 39 anos";168;66;358;62;598;80;122;456;211;665;225;318;692;250;150;1074;1535;309;1544;3746;965;475;870;289;353;698;186;16465
"40 a 44 anos";184;103;467;69;751;72;173;618;334;836;350;460;975;323;208;1545;2182;401;2316;5126;1372;726;1190;373;453;916;276;22799
"45 a 49 anos";261;115;610;83;862;83;201;664;395;1022;419;551;1317;444;296;1867;2899;494;2944;6922;1905;875;1681;501;592;1143;374;29520
"50 a 54 anos";343;134;618;106;1085;103;249;874;443;1443;535;750;1799;596;406;2358;3906;645;3890;9239;2507;1298;2175;572;682;1592;449;38797
"55 a 59 anos";441;168;874;117;1332;136;290;1122;636;2034;759;905;2415;810;494;2878;5584;943;5933;13105;3530;1777;3265;819;932;1957;568;53824
"60 a 64 anos";534;175;1047;178;1676;180;363;1377;795;2297;889;983;2883;936;548;3585;7092;1244;7779;16424;4135;2174;4240;955;991;2149;732;66361
"65 a 69 anos";607;195;1178;151;2125;164;419;1741;967;2669;937;1321;3387;1153;630;4083;8034;1460;9556;19623;4944;2645;5370;1074;1175;2614;879;79101
"70 a 74 anos";575;219;1170;135;2147;146;462;1853;1146;3375;1235;1553;3967;1205;720;4732;9016;1496;10194;21184;5303;2929;6181;1142;1204;2807;960;87056
"75 a 79 anos";588;234;1104;122;2205;152;438;2028;1215;3471;1288;1712;4345;1239;701;5216;9565;1540;10030;21716;5641;3058;6508;1116;1136;2758;939;90065
"80 anos e mais";1307;530;3093;298;5998;422;1360;5742;4308;12772;4631;6337;13179;3461;2508;18611;31884;5102;32950;69892;15720;9090;21159;3045;2660;7150;2606;285815
"Idade ignorada";-;2;1;3;10;-;-;7;2;2;-;-;12;1;-;21;5;8;68;43;5;-;9;1;-;5;1;206
"Total";5453;2271;11976;1663;21149;1859;4502;18311;11263;32610;11981;15793;37124;11241;7177;49488;85579;14479;91219;195970;48518;26423;54732;10642;11216;25515;8462;816616
 Fonte: MS/SVSA/CGIAE - Sistema de Informações sobre Mortalidade - SIM
 Notas:
 
 Dados finais disponíveis até 2023. Dados preliminares de 2024 atualizados em 10/2025.
 Em 2011, houve uma mudança no conteúdo da Declaração de Óbito, com maior detalhamento das informações coletadas. Para este ano, foram
 utilizados simultaneamente os dois formulários. Para mais detalhes sobre as mudanças ocorridas e os seus efeitos, veja o documento
 "Sistema de Informações sobre Mortalidade - SIM. Consolidação da base de dados de 2011".
 No dia 13/06/2019, os arquivos do SIM referentes ao ano de notificação 2017 foram atualizados, com alteração das causas básicas de 2 registros e exclusão de 1 registro.
 No dia 01/04/2020, os arquivos do SIM referentes ao ano de notificação 2019 foram atualizados, com alteração das causas básicas de 4 registros e exclusão de 1 registro.
 
