 Mortalidade - Brasil
Óbitos p/Residênc por Faixa Etária det e Unidade da Federação
Sexo: Masc
Período:2021
"Faixa Etária det";"RO";"AC";"AM";"RR";"PA";"AP";"TO";"MA";"PI";"CE";"RN";"PB";"PE";"AL";"SE";"BA";"MG";"ES";"RJ";"SP";"PR";"SC";"RS";"MS";"MT";"GO";"DF";"Total"
"0 a 6 dias";80;80;370;63;669;73;89;434;188;380;169;220;474;163;130;896;776;180;630;1505;376;260;361;105;222;345;124;9362
"7 a 27 dias";37;34;92;22;145;32;29;142;56;119;44;78;141;68;36;275;261;63;266;579;151;87;156;46;67;111;55;3192
"28 a 364 dias";67;60;199;67;354;59;49;231;105;217;81;114;226;107;66;361;394;98;394;860;231;140;155;83;125;161;60;5064
"Menor 1 ano (ign)";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;1;1;4
"1 a 4 anos";29;22;138;49;166;24;41;151;45;114;30;50;115;58;40;185;193;51;200;470;121;71;144;45;87;100;25;2764
"5 a 9 anos";10;9;56;15;107;15;17;74;32;68;21;35;62;31;21;126;136;41;87;239;74;49;64;36;31;52;18;1526
"10 a 14 anos";24;17;84;13;144;30;24;138;39;123;38;36;99;51;26;188;184;49;151;336;99;51;83;33;50;83;20;2213
"15 a 19 anos";109;78;418;61;634;126;101;513;187;778;206;242;779;295;136;1547;813;280;1102;1337;592;247;462;173;268;464;92;12040
"20 a 24 anos";209;89;698;114;1142;182;218;833;381;1213;422;419;1159;439;328;2582;1487;356;2089;2919;1146;516;817;262;394;785;169;21368
"25 a 29 anos";251;84;699;108;1073;130;189;839;385;1332;468;481;1133;427;297;2160;1716;383;2079;3512;1343;570;880;284;452;791;226;22292
"30 a 34 anos";258;96;648;106;1059;110;235;931;435;1345;444;529;1289;429;300;2081;2051;434;1988;4664;1557;721;1155;355;571;1014;281;25086
"35 a 39 anos";335;121;755;127;1217;135;259;1158;578;1500;554;692;1537;502;370;2539;3012;545;2542;7013;2016;855;1508;518;701;1365;400;32854
"40 a 44 anos";437;140;814;138;1366;151;316;1277;621;1745;627;856;1939;580;468;3039;3984;650;3394;9247;2596;1180;1954;627;913;1670;557;41286
"45 a 49 anos";488;176;837;162;1462;164;392;1277;699;1979;740;964;2126;758;500;3313;5016;939;4244;12102;3317;1617;2514;794;1088;2042;654;50364
"50 a 54 anos";646;214;1077;199;1863;188;432;1496;804;2421;884;1216;2883;920;619;3953;6602;1053;5676;15517;4494;2111;3488;1059;1322;2576;777;64490
"55 a 59 anos";756;233;1292;208;2082;209;465;1698;1018;2936;1209;1426;3404;1063;726;4738;8752;1445;8170;21103;5661;3099;5170;1241;1538;2997;916;83555
"60 a 64 anos";841;259;1542;199;2567;214;541;1974;1189;3111;1172;1527;3854;1209;827;5306;10352;1754;10048;24599;6190;3486;6557;1429;1630;3307;1015;96699
"65 a 69 anos";899;308;1641;234;3039;226;663;2343;1257;3432;1228;1593;4153;1435;909;5770;11297;2082;11687;27396;6919;4022;7566;1509;1788;3504;1043;107943
"70 a 74 anos";862;297;1516;246;3079;231;655;2530;1473;4056;1434;1840;4565;1372;926;6128;11686;1969;11882;27129;7024;3918;7989;1503;1659;3660;1093;110722
"75 a 79 anos";763;289;1459;159;2967;199;714;2561;1580;3833;1350;1828;4307;1378;891;5846;10869;1726;10245;24296;6725;3595;7438;1406;1552;3281;931;102188
"80 anos e mais";1470;603;2738;347;5683;392;1567;5666;3821;10329;3653;4719;9125;2553;1870;14694;24831;4126;20589;50292;13350;6857;14444;2884;2915;6826;2151;218495
"Idade ignorada";16;5;22;4;146;-;9;56;28;27;8;8;186;5;-;139;58;77;425;421;62;19;35;12;21;50;4;1843
"Total";8587;3214;17095;2641;30964;2890;7005;26322;14921;41058;14782;18873;43556;13843;9486;65866;104471;18301;97888;235537;64044;33471;62940;14404;17394;35185;10612;1015350
 Fonte: MS/SVSA/CGIAE - Sistema de Informações sobre Mortalidade - SIM
 Notas:
 
 Dados finais disponíveis até 2023. Dados preliminares de 2024 atualizados em 10/2025.
 Em 2011, houve uma mudança no conteúdo da Declaração de Óbito, com maior detalhamento das informações coletadas. Para este ano, foram
 utilizados simultaneamente os dois formulários. Para mais detalhes sobre as mudanças ocorridas e os seus efeitos, veja o documento
 "Sistema de Informações sobre Mortalidade - SIM. Consolidação da base de dados de 2011".
 No dia 13/06/2019, os arquivos do SIM referentes ao ano de notificação 2017 foram atualizados, com alteração das causas básicas de 2 registros e exclusão de 1 registro.
 No dia 01/04/2020, os arquivos do SIM referentes ao ano de notificação 2019 foram atualizados, com alteração das causas básicas de 4 registros e exclusão de 1 registro.
 
