 Mortalidade - Brasil
Óbitos p/Residênc por Faixa Etária det e Unidade da Federação
Sexo: Masc
Período:2022
"Faixa Etária det";"RO";"AC";"AM";"RR";"PA";"AP";"TO";"MA";"PI";"CE";"RN";"PB";"PE";"AL";"SE";"BA";"MG";"ES";"RJ";"SP";"PR";"SC";"RS";"MS";"MT";"GO";"DF";"Total"
"0 a 6 dias";86;50;306;42;536;59;78;424;180;386;142;211;445;163;129;808;792;138;629;1585;409;259;330;127;213;335;108;8970
"7 a 27 dias";39;17;85;23;141;19;25;127;64;114;41;74;117;51;53;226;260;59;204;613;166;100;136;39;70;102;28;2993
"28 a 364 dias";71;66;242;70;340;48;55;278;131;215;71;128;280;116;103;432;414;101;442;1038;232;164;210;117;152;206;47;5769
"1 a 4 anos";43;28;157;42;212;28;44;154;66;127;63;79;166;64;43;242;266;78;251;546;162;88;116;57;115;129;38;3404
"5 a 9 anos";10;11;61;9;110;9;16;87;32;89;25;35;83;30;24;147;153;37;133;307;88;57;83;29;51;60;23;1799
"10 a 14 anos";26;17;79;16;159;21;18;117;47;125;34;51;125;37;30;197;188;51;169;364;108;57;81;39;68;65;22;2311
"15 a 19 anos";110;72;347;56;654;82;107;476;204;698;210;244;711;277;143;1418;819;268;893;1268;578;246;429;133;270;351;100;11164
"20 a 24 anos";178;80;624;76;1196;147;197;743;374;1135;382;390;1197;473;309;2498;1489;438;1822;2622;1066;455;829;248;437;679;157;20241
"25 a 29 anos";209;78;608;102;1076;127;206;746;377;1189;404;472;1158;421;308;2047;1642;394;1840;2981;1152;490;830;290;410;722;175;20454
"30 a 34 anos";206;88;534;77;1010;100;221;849;417;1109;397;463;1126;366;276;1883;1779;415;1609;3584;1164;564;923;293;424;785;198;20860
"35 a 39 anos";227;86;497;118;1018;104;212;1001;463;1197;423;558;1261;417;285;2053;2246;447;1763;4520;1373;676;1127;378;488;901;285;24124
"40 a 44 anos";266;98;547;97;1095;93;271;1027;579;1367;479;694;1565;481;316;2586;2958;571;2312;6176;1737;865;1453;411;599;1076;349;30068
"45 a 49 anos";278;116;514;98;1200;112;297;1023;608;1540;584;784;1911;593;377;2720;3637;665;2823;7554;2006;1013;1764;524;676;1302;406;35125
"50 a 54 anos";366;118;641;109;1385;123;304;1165;703;1848;705;911;2222;734;490;3195;4761;794;3799;10119;2755;1578;2539;663;835;1590;479;44931
"55 a 59 anos";481;164;756;130;1703;144;360;1365;860;2291;936;1203;2747;951;583;4095;6485;1124;5718;14076;3721;2200;3904;884;998;1939;614;60432
"60 a 64 anos";553;203;897;190;2074;149;421;1625;991;2513;1029;1272;3227;996;685;4799;7978;1468;7485;17803;4419;2755;5211;1082;1142;2372;620;73959
"65 a 69 anos";576;197;1076;165;2440;197;448;1951;1098;2873;1154;1531;3569;1282;769;5193;9222;1676;8999;21283;5239;3120;6305;1226;1298;2633;714;86234
"70 a 74 anos";658;231;1053;182;2450;148;531;2122;1316;3443;1247;1786;3962;1368;810;5703;9706;1599;9300;22009;5649;3377;7115;1246;1267;2832;712;91822
"75 a 79 anos";630;225;988;151;2547;195;517;2250;1397;3438;1313;1759;3816;1297;835;5806;9409;1506;8337;21386;5736;3310;6770;1209;1269;2791;745;89632
"80 anos e mais";1307;482;2113;276;5503;388;1395;5384;3764;9953;3762;4928;9042;2618;1764;14824;23931;3724;17990;48874;12403;6560;14421;2827;2567;6127;1913;208840
"Idade ignorada";8;5;52;-;138;-;7;37;33;6;18;13;211;1;1;145;68;51;350;400;61;22;62;9;19;62;9;1788
"Total";6328;2432;12177;2029;26987;2293;5730;22951;13704;35656;13419;17586;38941;12736;8333;61017;88203;15604;76868;189108;50224;27956;54638;11831;13368;27059;7742;844920
 Fonte: MS/SVSA/CGIAE - Sistema de Informações sobre Mortalidade - SIM
 Notas:
 
 Dados finais disponíveis até 2023. Dados preliminares de 2024 atualizados em 10/2025.
 Em 2011, houve uma mudança no conteúdo da Declaração de Óbito, com maior detalhamento das informações coletadas. Para este ano, foram
 utilizados simultaneamente os dois formulários. Para mais detalhes sobre as mudanças ocorridas e os seus efeitos, veja o documento
 "Sistema de Informações sobre Mortalidade - SIM. Consolidação da base de dados de 2011".
 No dia 13/06/2019, os arquivos do SIM referentes ao ano de notificação 2017 foram atualizados, com alteração das causas básicas de 2 registros e exclusão de 1 registro.
 No dia 01/04/2020, os arquivos do SIM referentes ao ano de notificação 2019 foram atualizados, com alteração das causas básicas de 4 registros e exclusão de 1 registro.
 
