 Mortalidade - Brasil
Óbitos p/Residênc por Faixa Etária det e Unidade da Federação
Sexo: Fem
Período:2023
"Faixa Etária det";"RO";"AC";"AM";"RR";"PA";"AP";"TO";"MA";"PI";"CE";"RN";"PB";"PE";"AL";"SE";"BA";"MG";"ES";"RJ";"SP";"PR";"SC";"RS";"MS";"MT";"GO";"DF";"Total"
"0 a 6 dias";52;54;231;56;408;44;66;326;119;295;90;136;321;163;109;618;579;127;479;1226;321;195;276;88;173;249;95;6896
"7 a 27 dias";22;10;73;14;112;13;19;101;44;101;33;66;121;36;41;181;229;47;209;503;127;68;106;49;59;92;33;2509
"28 a 364 dias";59;48;211;61;298;50;36;218;124;179;58;99;258;98;89;339;359;91;353;827;206;116;157;96;131;180;52;4793
"1 a 4 anos";29;24;123;72;176;27;22;127;44;94;34;59;133;49;38;201;224;57;218;431;116;65;85;55;96;93;28;2720
"5 a 9 anos";16;8;59;16;91;10;13;70;21;51;22;32;67;37;22;117;145;22;106;294;64;43;57;41;39;49;19;1531
"10 a 14 anos";22;16;47;17;101;7;21;84;41;66;23;36;73;31;21;143;118;29;101;276;66;45;74;27;44;48;23;1600
"15 a 19 anos";26;20;113;25;180;20;32;116;48;146;51;53;139;64;28;274;247;65;235;496;164;83;130;47;84;98;23;3007
"20 a 24 anos";33;18;127;25;220;23;29;185;85;198;66;101;209;72;54;403;408;85;426;825;228;144;184;65;116;154;40;4523
"25 a 29 anos";52;28;140;31;254;33;63;229;93;303;84;119;264;111;57;446;528;109;521;1167;317;175;278;101;132;214;61;5910
"30 a 34 anos";68;35;151;39;348;26;65;244;132;363;93;155;359;148;84;541;718;127;690;1432;399;242;377;117;136;273;84;7446
"35 a 39 anos";77;31;226;42;464;33;91;356;177;443;177;202;533;166;117;872;1054;222;930;2161;517;315;543;156;208;337;111;10561
"40 a 44 anos";106;60;277;54;569;54;110;469;238;598;209;276;752;278;168;1313;1530;320;1470;3225;790;510;837;216;281;520;180;15410
"45 a 49 anos";165;75;336;60;686;48;121;551;297;735;289;411;947;412;174;1448;1887;391;1976;4118;1040;611;929;298;350;705;224;19284
"50 a 54 anos";183;82;396;65;785;65;152;670;335;954;356;495;1320;464;319;1844;2506;472;2638;5538;1490;836;1429;379;377;881;285;25316
"55 a 59 anos";247;90;471;68;992;78;209;842;457;1239;514;638;1785;601;377;2418;3587;601;3783;7872;2051;1285;2059;520;515;1101;373;34773
"60 a 64 anos";322;137;568;94;1274;82;216;1087;576;1630;659;867;2269;755;419;2926;4888;851;5399;10956;2585;1623;3023;664;611;1494;430;46405
"65 a 69 anos";378;150;682;103;1545;101;275;1390;729;2061;745;1021;2672;907;465;3514;6255;1029;6879;14451;3430;2031;3970;818;731;1790;548;58670
"70 a 74 anos";379;176;746;103;1711;131;331;1645;902;2770;1008;1276;3290;1097;563;4156;7136;1254;8031;16404;3929;2359;4828;826;816;2080;658;68605
"75 a 79 anos";420;164;756;101;1903;147;372;1834;1124;3071;1128;1533;3648;1108;654;4734;8278;1177;8216;18729;4466;2648;5403;957;907;2208;693;76379
"80 anos e mais";1204;522;2410;265;5686;405;1216;5601;4091;11842;4402;5682;12202;3227;2323;18056;30816;4876;28034;65557;14440;8621;19347;2832;2564;6647;2511;265379
"Idade ignorada";1;-;1;-;10;-;-;5;3;-;-;1;21;-;-;14;10;1;35;39;5;1;8;1;1;9;1;167
"Total";3861;1748;8144;1311;17813;1397;3459;16150;9680;27139;10041;13258;31383;9824;6122;44558;71502;11953;70729;156527;36751;22016;44100;8353;8371;19222;6472;661884
 Fonte: MS/SVSA/CGIAE - Sistema de Informações sobre Mortalidade - SIM
 Notas:
 
 Dados finais disponíveis até 2023. Dados preliminares de 2024 atualizados em 10/2025.
 Em 2011, houve uma mudança no conteúdo da Declaração de Óbito, com maior detalhamento das informações coletadas. Para este ano, foram
 utilizados simultaneamente os dois formulários. Para mais detalhes sobre as mudanças ocorridas e os seus efeitos, veja o documento
 "Sistema de Informações sobre Mortalidade - SIM. Consolidação da base de dados de 2011".
 No dia 13/06/2019, os arquivos do SIM referentes ao ano de notificação 2017 foram atualizados, com alteração das causas básicas de 2 registros e exclusão de 1 registro.
 No dia 01/04/2020, os arquivos do SIM referentes ao ano de notificação 2019 foram atualizados, com alteração das causas básicas de 4 registros e exclusão de 1 registro.
 
